time;09:26:52
 81594.80;26.01;0
 91749.53;13.94;1
 91749.89;13.93;2
 91747.45;13.92;3
 91745.40;13.92;4
 91747.45;13.92;5
 91746.78;13.93;6
 91745.40;13.93;7
 91744.69;13.92;8
 91745.40;13.92;9
 91744.70;13.91;10
 91745.75;13.91;11
 91745.40;13.92;12
 91745.05;13.93;13
 91743.31;13.92;14
 91744.69;13.92;15
 91744.38;13.92;16
 91744.38;13.92;17
 91744.38;13.92;18
 91744.69;13.92;19
 91745.40;13.93;20
 91745.75;13.93;21
 91745.75;13.93;22
 91746.07;13.93;23
 91746.77;13.94;24
 91743.66;13.93;25
 91743.66;13.93;26
 91745.05;13.93;27
 91745.39;13.94;28
 91744.02;13.94;29
 91745.39;13.94;30
 91745.39;13.94;31
 91745.39;13.94;32
 91745.75;13.94;33
 91745.39;13.94;34
 91745.75;13.94;35
 91746.07;13.94;36
 91743.66;13.94;37
 91744.36;13.95;38
 91743.30;13.95;39
 91746.42;13.95;40
 91746.06;13.95;41
 91744.69;13.95;42
 91744.69;13.95;43
 91743.30;13.95;44
 91743.66;13.95;45
 91743.30;13.95;46
 91745.04;13.95;47
 91744.01;13.96;48
 91743.66;13.95;49
 91742.62;13.96;50
 91742.98;13.96;51
 91742.98;13.96;52
 91742.98;13.96;53
 91744.36;13.96;54
 91744.36;13.96;55
 91742.98;13.96;56
 91741.92;13.96;57
 91741.92;13.96;58
 91740.54;13.96;59
 91741.92;13.96;60
 91741.92;13.96;61
 91742.62;13.96;62
 91742.28;13.95;63
 91744.01;13.96;64
 91744.36;13.96;65
 91743.30;13.96;66
 91743.30;13.96;67
 91743.30;13.96;68
 91742.27;13.96;69
 91741.92;13.96;70
 91741.92;13.96;71
 91743.30;13.96;72
 91743.30;13.96;73
 91741.59;13.96;74
 91741.25;13.96;75
 91741.25;13.96;76
 91741.25;13.96;77
 91741.25;13.96;78
 91744.01;13.96;79
 91744.36;13.96;80
 91741.92;13.96;81
 91741.24;13.97;82
 91741.24;13.97;83
 91742.98;13.97;84
 91743.30;13.97;85
 91744.00;13.98;86
 91744.36;13.98;87
 91742.97;13.98;88
 91740.89;13.98;89
 91740.89;13.98;90
 91740.89;13.98;91
 91741.23;13.99;92
 91741.59;13.99;93
 91740.21;13.99;94
