time;10:32:31 
101528.52;22.28;0
101528.34;22.28;1
101529.58;22.28;2
101529.22;22.28;3
101529.03;22.28;4
101529.41;22.28;5
101528.69;22.28;6
101529.03;22.28;7
101528.69;22.28;8
101527.80;22.28;9
101527.98;22.28;10
101527.27;22.28;11
101526.88;22.27;12
101526.83;22.27;13
101526.61;22.26;14
101527.32;22.26;15
101528.20;22.26;16
101528.56;22.26;17
101528.73;22.26;18
101528.56;22.26;19
101529.12;22.27;20
101528.77;22.27;21
101528.42;22.27;22
101528.25;22.27;23
101529.00;22.27;24
101528.11;22.27;25
101528.64;22.27;26
101528.64;22.27;27
101528.28;22.27;28
101527.72;22.27;29
101527.72;22.27;30
101527.72;22.27;31
101527.89;22.27;32
101527.72;22.27;33
101528.25;22.27;34
101527.54;22.27;35
101528.42;22.27;36
101528.77;22.27;37
101528.59;22.27;38
101528.95;22.27;39
101528.59;22.27;40
101528.25;22.27;41
101528.42;22.27;42
101527.89;22.27;43
101527.54;22.27;44
101528.07;22.27;45
101527.32;22.26;46
101528.02;22.26;47
101528.38;22.26;48
101528.02;22.26;49
101527.48;22.26;50
101527.66;22.26;51
101529.27;22.26;52
101528.72;22.26;53
101528.89;22.26;54
101529.61;22.26;55
101529.21;22.25;56
101528.63;22.25;57
101528.81;22.25;58
101529.34;22.25;59
101528.98;22.25;60
101529.16;22.25;61
101528.46;22.25;62
101528.81;22.25;63
101528.63;22.25;64
101528.46;22.25;65
101527.58;22.25;66
101528.46;22.25;67
101527.75;22.25;68
101528.46;22.25;69
101527.75;22.25;70
101527.39;22.25;71
101528.68;22.25;72
101528.68;22.25;73
101527.93;22.25;74
101528.68;22.25;75
101528.33;22.25;76
101528.89;22.26;77
101528.91;22.26;78
101528.73;22.26;79
101529.27;22.26;80
101529.78;22.26;81
101529.38;22.25;82
101528.86;22.25;83
101529.21;22.25;84
101528.33;22.25;85
101527.66;22.26;86
101526.95;22.26;87
101527.67;22.26;88
101527.50;22.26;89
101527.54;22.27;90
101527.89;22.27;91
101527.14;22.26;92
101527.89;22.27;93
101528.25;22.27;94
101528.95;22.27;95
101528.95;22.27;96
101529.31;22.27;97
101529.34;22.27;98
101528.82;22.27;99
101528.77;22.27;100
101529.52;22.27;101
101528.42;22.27;102
101528.42;22.27;103
101528.02;22.26;104
101528.20;22.26;105
101528.19;22.26;106
101528.55;22.26;107
101529.43;22.26;108
101529.80;22.26;109
101529.62;22.26;110
101529.44;22.26;111
