time;08:07:56
 81594.80;26.01;0
 91667.56;16.48;1
 91669.30;16.48;2
 91666.53;16.48;3
 91664.78;16.49;4
 91665.12;16.49;5
 91664.41;16.50;6
 91664.77;16.50;7
 91666.14;16.51;8
 91666.84;16.51;9
 91666.47;16.52;10
 91666.46;16.53;11
 91666.09;16.54;12
 91665.41;16.54;13
 91666.08;16.55;14
 91666.44;16.55;15
 91664.33;16.56;16
 91664.69;16.56;17
 91664.00;16.56;18
 91666.05;16.57;19
 91666.39;16.58;20
 91666.03;16.59;21
 91666.38;16.59;22
 91667.05;16.60;23
 91667.75;16.60;24
 91667.75;16.60;25
 91666.69;16.60;26
 91666.67;16.61;27
 91667.38;16.62;28
 91668.76;16.62;29
 91669.78;16.63;30
 91667.36;16.63;31
 91666.65;16.63;32
 91667.00;16.64;33
 91666.31;16.64;34
 91663.86;16.64;35
 91663.17;16.65;36
 91663.52;16.65;37
 91663.84;16.65;38
 91663.83;16.66;39
 91663.14;16.67;40
 91662.41;16.68;41
 91664.14;16.70;42
 91663.45;16.70;43
 91663.09;16.71;44
 91663.77;16.71;45
 91665.13;16.72;46
 91663.06;16.73;47
 91664.80;16.73;48
 91665.81;16.74;49
 91665.10;16.74;50
 91664.42;16.75;51
 91666.47;16.75;52
 91665.79;16.76;53
 91666.09;16.77;54
 91666.45;16.77;55
 91665.77;16.78;56
 91666.44;16.78;57
 91667.12;16.79;58
 91667.80;16.79;59
 91666.77;16.80;60
 91665.02;16.80;61
 91666.41;16.80;62
 91665.36;16.81;63
 91666.04;16.81;64
 91666.73;16.82;65
 91667.09;16.82;66
 91666.38;16.82;67
 91663.59;16.82;68
 91665.34;16.83;69
 91665.69;16.83;70
 91664.97;16.83;71
 91668.09;16.84;72
 91667.06;16.84;73
 91664.61;16.84;74
 91666.34;16.84;75
 91667.05;16.85;76
 91664.94;16.85;77
 91665.64;16.86;78
 91666.66;16.87;79
 91665.62;16.87;80
 91664.56;16.87;81
 91662.48;16.88;82
 91661.77;16.88;83
 91662.47;16.89;84
 91664.21;16.89;85
 91663.15;16.89;86
 91663.84;16.90;87
 91662.09;16.90;88
 91662.44;16.91;89
 91662.80;16.91;90
 91663.47;16.91;91
 91661.39;16.92;92
 91661.71;16.92;93
 91662.06;16.92;94
 91663.09;16.93;95
 91662.05;16.93;96
 91661.02;16.94;97
 91663.07;16.94;98
 91663.77;16.95;99
 91662.70;16.95;100
 91661.31;16.95;101
 91660.63;16.95;102
 91661.30;16.96;103
 91665.81;16.96;104
 91666.52;16.97;105
 91665.45;16.97;106
 91664.41;16.97;107
 91663.72;16.98;108
 91661.62;16.98;109
 91662.32;16.99;110
 91660.22;16.99;111
 91660.56;16.99;112
 91659.53;17.00;113
 91661.59;17.00;114
 91662.29;17.01;115
 91660.19;17.01;116
 91661.92;17.01;117
 91661.20;17.02;118
 91660.17;17.02;119
 91660.88;17.03;120
 91661.20;17.03;121
 91661.89;17.03;122
 91662.25;17.04;123
 91662.25;17.04;124
 91662.56;17.04;125
 91661.18;17.04;126
 91661.53;17.04;127
 91663.27;17.04;128
 91661.88;17.04;129
 91662.23;17.05;130
 91662.23;17.05;131
 91661.16;17.05;132
 91660.47;17.05;133
 91661.15;17.06;134
 91661.50;17.06;135
