time;12:47:33
85787.19;25.28;0
100821.09;19.11;1
100821.47;19.11;2
100820.77;19.11;3
100820.77;19.11;4
100820.06;19.11;5
100820.06;19.11;6
100820.06;19.11;7
100819.69;19.11;8
100819.69;19.11;9
100818.98;19.11;10
100818.98;19.11;11
100818.98;19.11;12
100818.61;19.10;13
100818.61;19.10;14
100818.61;19.10;15
100818.61;19.10;16
100818.61;19.10;17
100818.61;19.10;18
100818.61;19.10;19
100818.61;19.10;20
100817.53;19.10;21
100817.53;19.10;22
100817.53;19.10;23
100817.16;19.10;24
100817.53;19.10;25
100817.16;19.10;26
100817.16;19.10;27
100817.16;19.10;28
100817.16;19.10;29
100817.16;19.10;30
100816.45;19.10;31
100817.16;19.10;32
100817.53;19.10;33
100817.53;19.10;34
100817.53;19.10;35
100817.53;19.10;36
100817.53;19.10;37
100817.53;19.10;38
100817.91;19.10;39
100817.91;19.10;40
100817.20;19.10;41
100817.20;19.10;42
100817.58;19.11;43
100816.88;19.11;44
100817.25;19.11;45
100816.54;19.11;46
100816.91;19.11;47
100816.91;19.11;48
100816.21;19.11;49
100816.21;19.11;50
100815.51;19.11;51
100815.84;19.11;52
100815.84;19.11;53
100816.22;19.12;54
100815.52;19.12;55
100815.89;19.12;56
100815.19;19.12;57
100815.19;19.12;58
100814.48;19.12;59
100814.48;19.12;60
100814.86;19.12;61
100814.86;19.12;62
100814.16;19.12;63
100814.16;19.12;64
100814.16;19.12;65
100814.16;19.12;66
100813.45;19.12;67
100813.45;19.12;68
100813.45;19.12;69
100813.12;19.12;70
100813.12;19.12;71
100812.80;19.13;72
100812.47;19.13;73
100812.84;19.13;74
100812.48;19.13;75
100812.14;19.14;76
100812.14;19.14;77
100811.81;19.14;78
100811.86;19.14;79
100812.23;19.15;80
100812.61;19.15;81
100812.27;19.15;82
100811.91;19.15;83
100812.29;19.16;84
100811.96;19.16;85
100811.62;19.16;86
100811.30;19.16;87
100811.67;19.17;88
100811.34;19.17;89
100811.72;19.17;90
100812.43;19.18;91
100812.10;19.18;92
100811.77;19.18;93
100812.14;19.18;94
100811.81;19.19;95
100811.48;19.19;96
100811.86;19.19;97
100811.52;19.19;98
100811.88;19.20;99
100811.91;19.20;100
100811.59;19.20;101
100811.25;19.21;102
100812.00;19.21;103
100811.67;19.22;104
100812.39;19.22;105
100812.05;19.22;106
100812.42;19.23;107
100812.80;19.23;108
100812.47;19.23;109
100812.84;19.23;110
100813.22;19.24;111
100814.30;19.24;112
100815.02;19.24;113
100815.39;19.25;114
100815.76;19.25;115
100816.13;19.25;116
100816.51;19.25;117
100817.25;19.26;118
100817.59;19.26;119
100818.67;19.26;120
100819.05;19.27;121
100820.12;19.27;122
100820.87;19.27;123
100821.95;19.28;124
100823.02;19.28;125
100823.39;19.28;126
100824.45;19.28;127
100825.52;19.29;128
100826.59;19.29;129
100826.97;19.29;130
100828.05;19.29;131
100828.42;19.30;132
100829.50;19.30;133
100830.58;19.30;134
100830.92;19.30;135
100832.00;19.31;136
100832.70;19.31;137
100833.08;19.31;138
100834.16;19.31;139
100835.23;19.31;140
100837.02;19.32;141
100838.09;19.32;142
100838.46;19.32;143
100839.87;19.32;144
100840.58;19.32;145
100840.58;19.32;146
100841.27;19.32;147
100841.98;19.32;148
100842.69;19.32;149
100843.76;19.32;150
100843.39;19.32;151
100844.47;19.32;152
100845.17;19.32;153
100846.22;19.33;154
100846.22;19.33;155
100846.22;19.33;156
100847.30;19.33;157
100847.30;19.33;158
100848.38;19.33;159
100848.38;19.33;160
100848.75;19.33;161
100848.75;19.33;162
100849.12;19.34;163
100849.12;19.34;164
100849.52;19.34;165
100849.89;19.34;166
100849.89;19.34;167
100850.27;19.34;168
100850.61;19.35;169
100850.98;19.35;170
100851.36;19.35;171
100851.03;19.35;172
100851.41;19.36;173
100851.07;19.36;174
