time;19:45:00
 101011.90;21.10;1
 101011.16;21.09;2
 101009.36;21.09;3
 101009.75;21.09;4
 101009.36;21.09;5
 101008.62;21.08;6
 101007.45;21.08;7
 101010.53;21.07;8
 101010.80;21.06;9
 101011.81;21.06;10
 101012.83;21.06;11
 101012.70;21.05;12
 101012.98;21.04;13
 101011.58;21.04;14
 101010.17;21.04;15
 101010.17;21.04;16
 101009.16;21.04;17
 101009.55;21.04;18
 101008.89;21.05;19
 101009.28;21.05;20
 101009.67;21.05;21
 101010.02;21.06;22
 101009.67;21.05;23
 101011.06;21.05;24
 101011.70;21.05;25
 101012.98;21.04;26
 101013.25;21.03;27
 101014.53;21.02;28
 101016.20;21.01;29
 101017.09;21.00;30
 101019.12;21.00;31
 101017.60;20.99;32
 101019.27;20.98;33
 101020.94;20.97;34
 101021.20;20.96;35
 101021.83;20.96;36
 101023.23;20.96;37
 101026.03;20.96;38
 101027.44;20.96;39
 101029.49;20.95;40
 101030.12;20.95;41
 101027.97;20.94;42
 101024.40;20.94;43
 101023.66;20.93;44
 101021.86;20.93;45
 101021.47;20.93;46
 101021.47;20.93;47
 101020.84;20.93;48
 101023.38;20.94;49
 101024.91;20.95;50
 101025.02;20.96;51
 101026.93;20.97;52
 101028.19;20.99;53
 101029.70;21.00;54
 101028.03;21.01;55
 101026.75;21.02;56
 101023.32;21.02;57
 101021.92;21.02;58
 101017.72;21.02;59
 101017.72;21.02;60
 101019.47;21.03;61
 101015.66;21.03;62
 101008.77;21.04;63
 101005.34;21.04;64
 100995.89;21.05;65
 100992.08;21.05;66
 100985.84;21.05;67
 100985.19;21.06;68
 100983.79;21.06;69
 100979.70;21.07;70
 100982.62;21.08;71
 100987.33;21.09;72
 100993.33;21.09;73
 100997.26;21.10;74
 100998.39;21.11;75
 100998.39;21.11;76
 101000.18;21.11;77
 100995.47;21.10;78
 100994.34;21.09;79
 100992.05;21.08;80
 100989.52;21.07;81
 100988.38;21.06;82
 100989.39;21.06;83
 100986.47;21.05;84
 100981.14;21.04;85
 100981.14;21.04;86
 100978.96;21.04;87
 100981.02;21.03;88
 100981.28;21.02;89
 100980.90;21.02;90
 100974.28;21.02;91
 100974.02;21.03;92
 100975.53;21.04;93
 100975.92;21.04;94
 100977.68;21.05;95
 100978.06;21.05;96
 100977.44;21.05;97
 100978.57;21.06;98
 100975.50;21.07;99
 100971.80;21.08;100
 100968.73;21.09;101
 100967.05;21.10;102
 100966.43;21.10;103
 100962.34;21.11;104
 100960.67;21.12;105
 100959.00;21.13;106
 100955.93;21.13;107
 100953.25;21.14;108
 100957.84;21.15;109
 100958.22;21.15;110
 100955.92;21.16;111
 100953.86;21.17;112
 100951.45;21.17;113
 100951.56;21.18;114
 100949.27;21.19;115
 100950.41;21.20;116
 100948.73;21.21;117
 100944.91;21.21;118
 100945.03;21.22;119
 100949.35;21.23;120
 100947.67;21.24;121
 100947.41;21.24;122
 100946.78;21.25;123
 100945.77;21.25;124
 100946.90;21.26;125
 100949.05;21.26;126
 100945.23;21.27;127
