time;10:00:17 
101520.54;20.97;0
101520.54;20.97;1
101521.25;20.97;2
101520.88;20.97;3
101520.52;20.97;4
101521.23;20.97;5
101520.85;20.97;6
101521.56;20.97;7
101521.19;20.96;8
101521.89;20.96;9
101521.52;20.96;10
101522.22;20.96;11
101521.84;20.96;12
101521.47;20.96;13
101521.47;20.96;14
101521.47;20.95;15
101521.80;20.95;16
101521.80;20.95;17
101521.80;20.95;18
101521.80;20.95;19
101521.42;20.95;20
101521.42;20.95;21
101521.42;20.95;22
101521.42;20.95;23
101521.42;20.95;24
101521.42;20.95;25
101521.08;20.95;26
101521.08;20.95;27
101521.08;20.95;28
101521.08;20.95;29
101521.08;20.95;30
101521.08;20.95;31
101521.08;20.95;32
101521.08;20.95;33
101521.08;20.95;34
101521.08;20.95;35
101521.08;20.95;36
101521.08;20.95;37
101521.08;20.95;38
101521.08;20.95;39
101521.08;20.95;40
101521.08;20.95;41
101521.08;20.95;42
101521.08;20.95;43
101521.42;20.95;44
101521.42;20.95;45
101520.72;20.95;46
101521.42;20.95;47
101520.72;20.95;48
101520.72;20.95;49
101521.09;20.95;50
101521.09;20.95;51
101521.09;20.95;52
101521.09;20.95;53
101521.09;20.95;54
101521.09;20.95;55
101521.09;20.95;56
101521.09;20.95;57
101521.09;20.95;58
101521.09;20.95;59
101521.09;20.95;60
101521.09;20.95;61
101521.09;20.95;62
101521.09;20.95;63
101520.39;20.95;64
101520.39;20.95;65
101521.09;20.95;66
101520.72;20.95;67
101520.02;20.95;68
101520.72;20.95;69
101520.72;20.95;70
101521.09;20.95;71
101521.09;20.95;72
101521.09;20.95;73
101521.09;20.95;74
101521.09;20.95;75
101521.80;20.95;76
101521.80;20.95;77
101521.80;20.95;78
101521.80;20.95;79
101522.51;20.95;80
101521.80;20.95;81
101521.42;20.95;82
101521.42;20.95;83
101521.42;20.95;84
101522.13;20.95;85
101521.42;20.95;86
101521.42;20.95;87
101521.42;20.95;88
101521.42;20.95;89
101521.42;20.95;90
101521.80;20.95;91
101521.80;20.95;92
101521.80;20.95;93
101521.80;20.95;94
101522.17;20.96;95
101521.47;20.96;96
101521.47;20.96;97
101521.47;20.96;98
101522.17;20.96;99
101521.47;20.96;100
101521.47;20.96;101
101521.47;20.96;102
101521.84;20.96;103
101522.55;20.96;104
101522.55;20.96;105
101522.55;20.96;106
101522.55;20.96;107
101522.55;20.96;108
101522.55;20.96;109
101522.55;20.96;110
101522.55;20.96;111
101521.84;20.96;112
101522.55;20.96;113
101522.55;20.96;114
101522.22;20.96;115
101522.22;20.96;116
101522.22;20.96;117
101522.22;20.96;118
101521.52;20.96;119
101521.89;20.96;120
101521.89;20.96;121
101521.89;20.96;122
101521.89;20.96;123
101522.27;20.97;124
101522.27;20.97;125
101522.27;20.97;126
101522.27;20.97;127
101522.27;20.97;128
101521.56;20.97;129
101521.56;20.97;130
101522.27;20.97;131
101522.64;20.97;132
101522.64;20.97;133
