time;15:49:50
100975.59;23.27;0
100975.22;23.27;1
100974.84;23.27;2
100974.81;23.26;3
100974.78;23.26;4
100974.06;23.25;5
100974.03;23.25;6
100973.66;23.24;7
100973.62;23.24;8
100973.58;23.23;9
100973.58;23.23;10
100973.54;23.22;11
100973.12;23.22;12
100972.39;23.21;13
100972.38;23.21;14
100971.97;23.20;15
100971.94;23.19;16
100972.27;23.19;17
100971.86;23.18;18
100971.82;23.17;19
100971.44;23.17;20
100971.03;23.16;21
100971.70;23.15;22
100970.62;23.15;23
100970.21;23.14;24
100969.80;23.13;25
100970.13;23.12;26
100969.72;23.12;27
100969.31;23.11;28
100968.94;23.10;29
100969.23;23.09;30
100968.83;23.09;31
100968.45;23.08;32
100968.04;23.07;33
100968.34;23.06;34
100967.95;23.06;35
100968.27;23.05;36
100967.17;23.04;37
100966.77;23.03;38
100966.36;23.02;39
100965.61;23.02;40
100965.23;23.01;41
100964.12;23.00;42
100963.73;23.00;43
100963.33;22.99;44
100962.92;22.98;45
100962.54;22.97;46
100962.13;22.97;47
100961.73;22.96;48
100961.72;22.95;49
100961.31;22.95;50
100960.90;22.94;51
100960.48;22.93;52
100960.08;22.92;53
100959.70;22.91;54
100959.29;22.90;55
100959.96;22.90;56
100958.88;22.89;57
100959.55;22.89;58
100959.13;22.88;59
100959.81;22.87;60
100959.42;22.87;61
100960.09;22.86;62
100959.69;22.85;63
100959.69;22.85;64
100959.98;22.84;65
100959.95;22.84;66
100959.91;22.83;67
100959.52;22.82;68
100959.48;22.82;69
100960.16;22.81;70
100959.78;22.81;71
100959.74;22.80;72
100959.70;22.80;73
100958.97;22.79;74
100958.58;22.78;75
100959.25;22.78;76
100958.51;22.77;77
100958.47;22.77;78
100958.47;22.76;79
100958.06;22.76;80
100958.02;22.75;81
100958.69;22.75;82
100957.98;22.74;83
100957.23;22.74;84
100957.20;22.73;85
100956.45;22.73;86
100956.44;22.72;87
100956.03;22.71;88
100955.66;22.71;89
100955.62;22.71;90
100955.61;22.70;91
100954.88;22.70;92
100954.84;22.69;93
100954.80;22.69;94
100954.80;22.68;95
100955.46;22.68;96
100955.42;22.67;97
100956.47;22.67;98
100956.43;22.66;99
100957.12;22.66;100
100957.09;22.65;101
100957.77;22.65;102
100958.09;22.64;103
100958.06;22.64;104
100958.05;22.63;105
100958.02;22.63;106
100958.35;22.63;107
100958.31;22.62;108
100958.31;22.62;109
100958.64;22.61;110
100958.57;22.60;111
100958.91;22.60;112
100959.23;22.60;113
100958.52;22.59;114
100958.48;22.59;115
100958.82;22.59;116
100958.05;22.58;117
100958.38;22.58;118
100957.67;22.57;119
100958.00;22.57;120
100957.97;22.57;121
100957.59;22.56;122
100957.22;22.56;123
100956.48;22.56;124
100956.13;22.55;125
100955.39;22.55;126
100955.02;22.55;127
100954.27;22.54;128
