time;15:22:56
 81594.80;26.01;0
 91886.68;22.07;1
 91886.04;22.06;2
 91887.18;22.02;3
 91887.80;21.94;4
 91887.23;21.89;5
 91888.08;21.85;6
 91887.12;21.82;7
 91887.15;21.81;8
 91887.15;21.81;9
 91888.20;21.81;10
 91887.15;21.81;11
 91889.51;21.84;12
 91889.48;21.85;13
 91887.38;21.85;14
 91886.01;21.84;15
 91884.64;21.83;16
 91884.51;21.98;17
 91882.27;22.14;18
 91881.38;22.20;19
 91879.66;22.19;20
 91880.42;22.17;21
 91881.56;22.14;22
 91883.41;22.11;23
 91886.62;22.09;24
 91893.30;22.08;25
 91901.75;22.06;26
 91907.76;22.04;27
 91912.34;22.03;28
 91926.70;22.03;29
 91948.77;22.01;30
 91962.09;22.01;31
 91974.33;22.01;32
 91987.97;22.00;33
 92008.95;22.00;34
 92022.27;22.00;35
 92034.86;22.00;36
 92053.75;21.99;37
 92067.06;21.99;38
 92078.25;21.99;39
 92096.77;21.99;40
 92120.55;21.99;41
 92133.14;21.99;42
 92147.48;21.99;43
 92167.42;22.00;44
 92201.34;22.00;45
 92220.58;22.00;46
 92239.44;22.00;47
 92260.08;22.01;48
 92270.92;22.01;49
 92276.52;22.01;50
 92286.31;22.01;51
 92301.72;22.00;52
 92308.74;21.99;53
 92318.19;21.98;54
 92324.51;21.98;55
 92335.34;21.98;56
 92342.34;21.98;57
 92350.02;21.98;58
 92366.78;21.99;59
 92376.58;21.99;60
 92384.27;22.00;61
 92391.95;22.00;62
 92408.03;22.01;63
 92416.78;22.01;64
 92427.25;22.01;65
 92437.75;22.02;66
 92446.47;22.02;67
 92454.86;22.02;68
 92462.56;22.03;69
 92471.63;22.03;70
 92481.10;22.03;71
 92488.09;22.03;72
 92493.70;22.03;73
 92497.52;22.04;74
 92501.34;22.04;75
 92505.53;22.05;76
 92508.67;22.06;77
 92518.81;22.05;78
 92525.48;22.05;79
 92531.78;22.04;80
 92536.34;22.03;81
 92549.97;22.04;82
 92561.83;22.07;83
 92568.77;22.10;84
 92577.41;22.14;85
 92580.91;22.14;86
 92586.16;22.14;87
 92590.70;22.14;88
 92594.53;22.15;89
 92599.44;22.15;90
 92604.66;22.16;91
 92610.24;22.17;92
 92618.27;22.18;93
 92624.57;22.18;94
 92629.44;22.19;95
 92632.95;22.19;96
 92636.07;22.20;97
 92640.97;22.20;98
 92645.85;22.21;99
 92649.70;22.21;100
 92653.53;22.22;101
 92658.41;22.23;102
 92659.81;22.23;103
 92666.13;22.22;104
 92668.94;22.22;105
 92674.86;22.22;106
 92684.31;22.23;107
 92690.23;22.23;108
 92694.11;22.23;109
 92699.70;22.23;110
 92704.60;22.23;111
 92709.16;22.23;112
 92715.45;22.22;113
 92721.05;22.22;114
 92731.57;22.22;115
 92740.32;22.22;116
 92750.45;22.22;117
 92762.00;22.23;118
 92767.95;22.23;119
 92776.34;22.23;120
 92785.09;22.23;121
 92796.30;22.23;122
 92804.34;22.23;123
 92815.54;22.23;124
 92827.79;22.23;125
 92843.54;22.23;126
 92853.34;22.23;127
 92861.02;22.23;128
 92868.37;22.24;129
 92875.72;22.24;130
 92880.27;22.24;131
 92884.80;22.24;132
 92894.59;22.24;133
 92900.20;22.24;134
 92904.75;22.25;135
 92909.30;22.25;136
 92912.45;22.25;137
 92917.34;22.26;138
 92923.29;22.26;139
 92930.97;22.26;140
 92934.48;22.27;141
 92937.27;22.27;142
 92943.23;22.27;143
 92954.75;22.27;144
